397, 35, 6, 23
126, 42, 18, 26
378, 30, 9, 33
352, 30, 11, 19
313, 35, 18, 27
233, 134, 119, 59
222, 0, 27, 84
49, 62, 10, 15
226, 14, 16, 33
98, 78, 26, 12
231, 45, 50, 42
319, 161, 67, 23
319, 167, 19, 17
377, 180, 11, 12
46, 16, 102, 114
135, 71, 36, 37
41, 29, 18, 100
224, 7, 21, 40
403, 169, 14, 19
129, 55, 18, 32
315, 168, 14, 14
325, 33, 13, 28
310, 127, 15, 16
304, 126, 16, 33
428, 74, 11, 15
258, 33, 11, 10
235, 166, 46, 26
373, 74, 9, 13
349, 91, 76, 7
119, 46, 24, 52
73, 21, 13, 33
344, 158, 52, 34
165, 85, 20, 30
43, 22, 34, 55
397, 33, 8, 28
46, 16, 94, 81
305, 126, 11, 21
258, 109, 69, 66
255, 73, 29, 16
70, 4, 99, 51
60, 68, 9, 59
222, 0, 27, 36
313, 111, 23, 34
258, 51, 10, 9
96, 0, 73, 33
335, 42, 106, 54
252, 65, 37, 7
302, 30, 111, 58
31, 64, 38, 70
296, 80, 14, 16
246, 109, 18, 9
352, 169, 13, 13
255, 48, 39, 19
237, 116, 13, 18
245, 119, 17, 24
330, 30, 30, 33
171, 31, 23, 66
337, 35, 13, 30
407, 151, 17, 9
374, 74, 24, 14
46, 16, 100, 81
218, 160, 14, 22
234, 124, 18, 21
30, 95, 41, 41
301, 69, 12, 20
302, 68, 17, 20
235, 133, 39, 26
355, 166, 19, 15
129, 61, 15, 28
238, 42, 44, 23
305, 30, 35, 23
187, 109, 158, 84
288, 80, 28, 18
70, 4, 99, 68
30, 59, 41, 77
80, 116, 79, 20
77, 9, 17, 11
302, 30, 38, 33
337, 32, 40, 32
271, 15, 66, 45
233, 165, 108, 28
9, 5, 139, 125
313, 116, 23, 18
407, 151, 17, 9
73, 3, 62, 26
349, 161, 37, 23
331, 166, 9, 16
103, 98, 92, 36
264, 122, 42, 22
63, 15, 16, 28
9, 0, 60, 26
304, 32, 13, 30
246, 47, 33, 14
389, 77, 9, 11
95, 0, 74, 30
254, 167, 12, 17
337, 30, 99, 34
226, 8, 24, 42
228, 30, 58, 42
192, 50, 3, 42
369, 165, 49, 28
414, 35, 15, 26
305, 125, 12, 17
35, 31, 23, 99
360, 30, 70, 37
237, 158, 46, 25
303, 70, 5, 17
341, 32, 18, 31
397, 167, 21, 21
109, 93, 42, 35
387, 157, 29, 30
175, 31, 7, 47
285, 127, 30, 28
317, 76, 28, 12
13, 10, 35, 28
229, 144, 42, 24
229, 46, 52, 41
9, 15, 26, 46
100, 91, 51, 37
388, 167, 9, 15
388, 32, 11, 30
296, 166, 14, 16
103, 28, 35, 52
222, 0, 130, 84
269, 125, 32, 18
206, 150, 22, 8
307, 111, 29, 34
365, 30, 34, 35
69, 92, 90, 45
307, 113, 18, 13
176, 60, 3, 22
396, 33, 9, 30
422, 33, 13, 30
358, 32, 19, 30
398, 167, 20, 24
304, 33, 12, 30
160, 61, 27, 36
270, 167, 8, 15
412, 32, 19, 29
71, 4, 105, 114
305, 30, 35, 32
100, 61, 78, 50
384, 166, 11, 16
96, 0, 48, 7
199, 143, 40, 38
289, 127, 19, 16
337, 32, 23, 33
293, 165, 16, 18
80, 116, 26, 16
412, 33, 15, 28
211, 116, 10, 16
9, 4, 190, 132
9, 15, 26, 97
96, 47, 5, 23
258, 61, 96, 36
408, 166, 16, 23
44, 17, 17, 50
140, 0, 30, 33
13, 4, 47, 63
366, 33, 63, 33
302, 30, 97, 58
236, 167, 41, 18
289, 125, 36, 18
311, 30, 20, 7
222, 113, 13, 18
9, 5, 82, 125
61, 65, 29, 21
125, 42, 19, 26
336, 61, 25, 17
269, 125, 17, 17
211, 116, 8, 15
258, 164, 32, 18
245, 51, 27, 12
310, 163, 38, 20
64, 15, 13, 28
317, 68, 65, 21
304, 30, 34, 35
69, 74, 24, 54
230, 45, 49, 42
335, 24, 93, 25
172, 132, 34, 14
176, 42, 18, 46
199, 107, 30, 21
224, 147, 12, 33
341, 32, 30, 29
115, 97, 29, 23
233, 134, 104, 59
312, 116, 24, 30
270, 128, 15, 14
390, 164, 36, 25
307, 30, 30, 33
294, 128, 6, 12
136, 126, 58, 10
36, 113, 22, 17
304, 32, 34, 33
357, 42, 84, 44
131, 61, 13, 21
400, 25, 28, 5
252, 71, 29, 16
385, 54, 57, 42
246, 118, 28, 13
182, 70, 11, 28
149, 9, 19, 18
132, 76, 11, 11
171, 82, 16, 22
359, 30, 39, 35
225, 8, 67, 57
164, 113, 35, 12
290, 127, 8, 16
131, 61, 13, 23
366, 30, 64, 34
46, 18, 86, 79
364, 91, 21, 7
336, 30, 16, 35
190, 111, 32, 28
234, 124, 22, 21
304, 30, 27, 32
303, 71, 8, 17
366, 31, 33, 33
346, 69, 21, 19
205, 165, 19, 18
77, 0, 99, 99
390, 167, 7, 16
143, 125, 18, 10
68, 3, 131, 133
258, 163, 34, 21
223, 0, 23, 7
226, 30, 69, 56
141, 113, 15, 17
251, 110, 42, 31
72, 4, 103, 111
100, 92, 15, 16
303, 35, 14, 29
95, 118, 54, 15
80, 33, 49, 56
252, 158, 9, 23
371, 33, 5, 29
246, 0, 10, 16
256, 30, 14, 11
162, 82, 35, 39
246, 118, 28, 23
407, 166, 17, 23
257, 30, 13, 11
302, 30, 96, 35
227, 42, 11, 37
282, 167, 9, 15
400, 76, 11, 12
379, 34, 7, 27
307, 113, 18, 12
304, 30, 36, 32
302, 30, 134, 59
